CATEGORIA PRODOTTO,ARTICOLO,QUANTITÀ MINIMA,SCADENZA TIPICA,CONTROLLO MENSILE,NOTE OBBLIGHI,CODICE,IMMAGINE,PREZZO
PROTEZIONE PERSONALE,Guanti sterili monouso,5 paia,5 anni (non scade prima),Verificare integrità confezione,Controllare sigillo busta,,,"00,60€"
PROTEZIONE PERSONALE,Visiera paraschizzi,1,5 anni,Verificare integrità,Richiesta per contatti corporei,,,"03,85€"
DISINFEZIONE,Soluzione iodopovidone 10% (flacone 1 L),1,2-3 anni,Verificare data e trasparenza,Controllare ogni mese prima scadenza,,,"04,50€"
DISINFEZIONE,"Soluzione fisiologica NaCl 0,9% (flaconi 500 ml)",3,2-3 anni,Verificare data e trasparenza,Sostituire se torbida o scaduta,,,"07,50€"
GARZE E BENDE,Compresse garza sterile 10×10 cm (singole),10,5 anni,Verificare sigillo e umidità,Non aprire se non necessario,,,"03,50€"
GARZE E BENDE,Compresse garza sterile 18×40 cm (singole),2,5 anni,Verificare sigillo e umidità,Per ferite ampie,,,"01,50€"
GARZE E BENDE,Teli sterili monouso 40×60 cm,2,5 anni,Verificare sigillo,Per coprire ampie superfici,,,"01,80€"
GARZE E BENDE,Rete elastica di misura media (confezione),1,5 anni,Verificare integrità,Per fissaggi,,,"01,00€"
GARZE E BENDE,Cotone idrofilo (confezione),1,5 anni,Verificare integrità e umidità,Protegge da contaminazione,,,"02,50€"
CEROTTI E FISSAGGIO,Cerotti varie misure pronti all'uso,2 confezioni,3-5 anni,Verificare adesività,Sostituire se perdono adesione,,,"02,00€"
CEROTTI E FISSAGGIO,"Cerotto adesivo alto 2,5 cm (rotoli)",2,3-5 anni,Verificare adesività,Per fissaggio compresse,,,"00,20€"
STRUMENTI,Forbici taglia-bende a punta arrotondata,1 paio,Non scade,Verificare affilatura,Regolare controllo funzionalità,,,"02,50€"
STRUMENTI,Pinzette da medicazione sterili monouso,2,5 anni,Verificare sigillo busta,Non riutilizzare dopo apertura,,,"00,15€"
ACCESSORI,Lacci emostatici,3,5 anni,Verificare integrità elastico,Per compressione in emorragie,,,"03,00€"
ACCESSORI,Ghiaccio istantaneo monouso,2 confezioni,2-3 anni,Verificare data scadenza,Sostituire 2-3 mesi prima scadenza,,,"02,00€"
STRUMENTI DI CONTROLLO,Termometro clinico,1,Non scade fisicamente,Verificare funzionalità,Preferibilmente digitale per igiene,,,"12,50€"
STRUMENTI DI CONTROLLO,Misuratore pressione arteriosa,1,Non scade fisicamente,Verificare funzionalità e batterie,Consigliato elettronico in scuola,,,"08,29€"
ALTRO,Sacchetti monouso per rifiuti sanitari,2,Non scade,Verificare integrità,Obbligatorio per smaltimento,,,"04,45€"
DOCUMENTAZIONE,Copia D.Lgs. 81/08 e D.M. 388/2003,1,Sempre valida,Verificare presenza,Deve essere consultabile in cassetta,,,"00,50€"